sentence,emotion
"Happily, the faux-pas hasn't stopped Dino continuing to make inroads into the Irish record market",Joy
Are you ready for the moment of truth?,Anticipation
And Caro knew that Hugh was out of the picture.,Joy
I want to sail through with you like the fish.,Trust
And not even Glen Hoddle's magic touch could save the day.,Sadness
She'd never have had a smash hit on Broadway if she'd stayed here to work.,Sadness
We're on the up and up.,Joy
The Mishcon job came like a bolt from the blue.,Surprise
His jaw dropped slightly as he took them in.,Surprise
He jumped out of his skin like he'd been stung.,Surprise
"Horror-struck, she was rooted to the spot with terror, her eyes drawn to the top of the stairs, waiting for the first sign.",Fear
"We are left with the unspecific practical objection, the objection that is as much to say that only seeing is believing.",Fear
"He stopped dead in his tracks, rooted to the spot with horror.",Fear
Meryl was struck dumb.,Surprise
"Words fail me, I tell you.",Sadness
"But he doesn't wanna hear everyone have a free for all, if you've got something to say, well say it.",Anger
"However, one party source said 'The gloves are off.'",Anticipation
"The market traders are up in arms about this and I found them in the process of trying to get a petition together but it it wasn't put together right, they were just getting people to sign blank pieces of paper.",Anger
"That first day at school depressed me, and during the next few days I begged my parents to let me stay at home, which of course was out of the question.",Sadness
That was before I was cognisant of the fact that my Wakefield caucus would only have one in over my dead body.,Anger
"Malone rushed from his dug-out to protest and was joined by Linfield officials in a shouting match, with both factions having to be physically restrained by players.",Anger
"The whole day had been a great strain and although they had attempted to resolve their differences and clear the air, Rachel found herself dreading the prospect of working with David Markham on a permanent basis.",Fear
Councillors have found themselves at loggerheads with the Government on a number of occasions.,Anger
"The Everyman is making this exclusive offer to the Echo to promote the two for the price of one Bard Card ticket, which operates for its own Shakespearian production, Much Ado About Nothing, until Friday.",Anticipation
"In 1751 the Julian calendar was abandoned by the Chesterfield Act which instituted the Gregorian calendar, but all hell broke loose.",Anger
"The main bone of contention is not the Josef P. Kleihues-designed building itself, but the plan to raise the adjacent sculpture garden on top a two-storey parking garage, masking it from pedestrian view with a sixteen foot stone wall.",Surprise
"Do you not think she must be up in arms by this time, at being treated like a bone between three dogs?",Disgust
"Get off my back, Zimberalda.",Anger
"But soon he relapsed into his dangerous black mood, fingering the razor-sharp edge of his knife.",Anger
"So I mean, in the end even animals can get cheesed off.",Anger
For crying out loud.,Anger
"Cut it out, Ma.",Anger
"I'm just a small part of a team, so you needn't get your knickers in a twist trying to be polite.",Anger
"Oh, give it a rest.",Anger
Tarquin and Lucretia go through the roof.,Joy
"Oh, why must you harp on about that.",Anger
People should get hot under the collar when presented with dreary architecture.,Anger
The frustration and worry she felt at the moment were enough to make her want to scream blue murder.,Anger
"She had planned on no such thing, but the mere thought of Piers with Nicole had made her see red, and her reaction had made her angrier still.",Anger
She was standing there crammed full of enthusiasm and energy like a bomb on a short fuse.,Anticipation
"He really gets steamed up if they're left open, you'd think somebody was going to run off with the timber mill.",Anger
When I think of the large sum of money this office has put into that gutter print it makes my blood boil.,Fear
Italy must take the biscuit.,Trust
That's the last straw.,Anger
"That's what it was all about six years ago, why you were a bundle of nerves every time I came anywhere near you, because you couldn't cope with your feelings.",Surprise
"Poor kid, thought Alice, he's scared stiff.",Fear
He was still on tenterhooks waiting for his directors decision about the manager's job.,Anticipation
"I had no personal control over branch funds, but had to bear the brunt of the attack.",Anger
I'm bored to tears with your feeling guilty.,Disgust
So people were increasingly being faced with the problem of lots more dog mess close to home and how to dispose of it.,Disgust
Incredibly deep down.,Surprise
"I looked at Sogono, in his olive greens and boots, he looked a fish out of water.",Surprise
"Odd, the things people get worked up about.",Sadness
"The following day, however, Mrs Thatcher had a change of heart, and asked him to flesh out his figures.",Surprise
You've pushed her nose out of joint.,Disgust
"Pleased as Punch, like I thought.",Joy
You want to let off steam?,Anger
So he left me in a stew of doubt.,Fear
"Swallow your pride and your anger, old man.",Anger
I'll be on tenterhooks.,Fear
"A moment later the two of them had disappeared into the house, leaving me standing there in the sunshine, feeling suddenly weak at the knees.",Surprise
"After a while, the bullying at school didn't affect me too much, and I was in my element with all the wildlife around me.",Joy
As you cruise the waterways on a luxury motor launch feast your eyes on the illuminated city and feast yourself on a delightful 4 course dinner.,Joy
She's still full of the joys of spring.,Joy
A playground and playhouse keep the tots happy while the teenagers have a ball with a whole host of absorbing activities.,Joy
"Willi was infinitely preferable when they were in a crowd, when he was being the life and soul of the party.",Joy
Take it easy on the roads.,Sadness
Voice over and let's hope they're all looking on the bright side of life for this week's coca cola cup games... now there was a time when Gloucester rugby would always give us a cheer... but they're down in the dumps too.,Sadness
"As Michael looked at the man sitting opposite, his fat ugly face grinning like a Cheshire cat's, he felt an impulse to smash his fist into his teeth.",Anger
Honestly that plus my homemade crme caramel made in the individual ramekins and he's happy as Larry.,Joy
"Although I'm a Summer Exhibition veteran, my heart sinks when the letter from the Royal Academy arrives.",Sadness
Female speaker I was over the moon.,Joy
"He was a strong, healthy lad and as pleased as punch to be working with Dad.",Joy
"Match of the Day's team, as well as his own, in raptures.",Joy
Super Steve's in seventh heaven.,Joy
"But it also brought a smile to manager Brian Horton, and I was thrilled to bits for him because he's taken a lot of stick over recent results.",Joy
How plumptious I feel and tickled pink.,Joy
But you can be sure that you'll have the time of your life.,Joy
He said I'm on top of the world.,Joy
An hour later Sophie left the pet shop feeling as though she were walking on air.,Joy
"Well no because they just go bananas if you do, you've got to be careful.",Fear
Angry scenes erupted at a meeting in Darlington last night as the British National Party tried to gatecrash an environmental debate.,Anger
Its clatter set alarm bells ringing in her head.,Fear
"I stopped laughing and sat on the floor, back to the wall, legs out straight.",Joy
"My telephone's on the blink, and we're revamping the reception area as you'll have gathered.",Anger
Fear returns to haunt us as managers carry the can,Fear
Matters regarding the Grammar School had come to a head.,Anger
It leaves me high and dry as far as the debt's concerned.,Anger
I got the feeling that there could be murder done.,Anger
The interruption had knocked her thoughts out of sync,Surprise
The above four cases only scratch the surface.,Anticipation
"If it looks as if it's going to be nasty, I take the easy way out.",Fear
Mr Kelloway says there have only been minor teething problems and he is satisfied the machine is ready for production.,Anticipation
But once again the thorny issue of bolts in West Penwith is raised.,Anger
The raid itself was an unmitigated disaster.,Disgust
As far as road races are concerned we are having to financially batten down the hatches this year and all events will be self-financing.,Anticipation
It was a calculated risk.,Trust
You may even throw caution to the wind and try one of our Mystery Trips.,Anticipation
"He has polished shoes, a close shave, and too much pride for a free drink.",Trust
But every day hundreds of ordinary workers dice with death to complete these essential tasks.,Fear
"It seems to be looking straight at me, its knuckled legs poised, tense, waiting I know for one false move from me to trigger it into an electrifying spring... straight at me.",Fear
"The classic case is that of the American bison, reduced from millions to a handful of individuals, and saved from extinction by a hair 's breadth.",Sadness
"The first time he tried it, with elastic supports round his wrists, Anne Heaton was terrified and wondered whether she would live to tell the tale, but it worked.",Fear
"Proceed with caution and, at the risk of sounding like a tabloid astrologer, look before you leap.",Anticipation
"Ambulances arrived, Ivor and Pauline were in safe hands.",Trust
Nothing less than the future of mankind is at stake.,Fear
"But watch your step, Kit.",Fear
Jo began frantically to try frame a lie in her mind but she could not think clearly.,Fear
"Rejected at that level, he was back to square one, at a disadvantage.",Sadness
The Chancellor's policies are not expected to bear fruit until the spring.,Anticipation
Publishers and film-makers are already beating his door down for blockbuster number two.,Sadness
This is often far from the case and many a combination has come to grief at the very last fence.,Sadness
"Of course Carvill's Hill started off a dead cert, yet he limped home badly beaten.",Sadness
"We're dead in the water, small children laugh in our faces.",Disgust
"Fortunately, like the other tests, the 31-year-old convent-educated beauty passed with flying colours.",Joy
We haven't worked all these months to have it go up in smoke now.,Anger
"Yup, I've got it made.",Joy
But father had no faith in my ability to make a go of anything.,Sadness
They believe MPs could make a killing as they will know the likely outcome before the vote.,Anticipation
Keepers face make or break decisions,Anticipation
"In other words, it is a form of Murphy 's law, things always tend to go wrong.",Sadness
They were left with the feeling of not getting anywhere.,Disgust
"I wasn't sure that our clothing would pass muster at the doors, but others in the crowd were even more outlandish and uncivilised.",Surprise
"This was indeed a Pyrrhic victory, because West Indies cricket was assuredly the loser.",Sadness
The present rendezvous had been riding high on my chart of dreads.,Fear
The fact that Scotland tried to rise to the occasion was worth more than just two precious points.,Joy
Marie Brown thought she was one of the fortunate ones to sail through unaffected.,Surprise
Captain Tony Wright came in to save the day.,Joy
He'll have to sink or swim.,Trust
"And the search is on to find the top dog among an entry of eight hundred collies, German shepherds and even poodles.",Anticipation
This order came like a bolt from the blue and I'm very grateful for it.,Joy
It was completely out of the blue.,Surprise
His jaw dropped.,Surprise
The unexpected sound of the deep voice suddenly coming from somewhere beside her made Laura almost jump out of her skin.,Fear
"She pulled it up again and lo and behold, there was water in the bucket.",Surprise
Everywhere in Greece the hoped-for growth of income from tourism depends in part on removing the smells that haunt too many beaches and other places where north Europeans twitch noses and raise eyebrows.,Disgust
Ashi found herself rooted to the spot in disbelief as she watched the threshing legs of her daughter.,Surprise
Talk about seeing is believing.,Surprise
 Simon had the satisfaction of seeing the chief inspector momentarily struck dumb.,Surprise
Mr West predicts that January 1 will mean a free for all.,Joy
"But if we wait long enough, perhaps thousands of years, Tit for Tat will eventually muster the numbers required to tip it over the knife-edge, and the population will flip.",Anticipation
"A big peak was out of the question; it was a little too late, a little too wet and miserable.",Sadness
He claims that the ex-Celt tried to pick a fight with him in the toilets at a function after Manchester United's unsuccessful FA Cup Final against Southampton in 1976.,Anger
You need to clear the air and get deep seated anxieties and worries off your chest Saturday.,Fear
Somehow you have to play devil 's advocate against your presentation and try to knock it to pieces.,Anticipation
Staff tiptoe past your room at night so as to let sleeping dogs lie.,Joy
"A little scared, very curious, ravenously hungry and ready to argue the toss with anyone after being passed from person to person like so many yards of parcelled muslin.",Fear
Then all hell broke loose.,Anger
His stomach was churning but he knew he could elude her if only he could remain calm and call her bluff.,Fear
"I wouldn't ask your father, but your mother would, I'm sure, be up in arms.",Anger
"For the love of Mike, Candy, will you please get off my back about Adam Burns?",Anger
Alain was in a black mood and Marguerite was trying hard to pretend she wanted to go back to Paris.,Anger
And really cheesed off about being left out of the action for so long.,Anger
Black And Blue is BBC1's controversial 90-minute drama guaranteed to get the law and order brigade hot under the collar.,Anticipation
We will all go and scream blue murder at the goats and make them thoroughly ashamed and sorry for themselves.,Anger
Nicaraguans see red over economic ruin Grinding poverty.,Anger
"I can tell you, he's got a very short fuse.",Anger
All steamed up over the real thing.,Anger
Mr Brown said the planned charges were the last straw for customers already angry over banks' high-handed attitude.,Anger
Neither Bradford nor Birmingham regrets entering the tourist trade - the industry waits with bated breath to see how Swindon fares.,Anticipation
Rosie was very insecure and a bundle of nerves.,Fear
"Mr Cubbage was like a cat on hot bricks, he was most distraught at Coleen's decision to go to England, and he bombarded her with letters and flowers.",Sadness
It calls for consummate timing and nerves of steel.,Anticipation
She would be suffering from pins and needles.,Anticipation
We were all gay but scared stiff to do anything about it.,Fear
I'm really on tenterhooks about the twins.,Fear
It was after the tour that Take That-mania reached fever pitch and the band were forced to employer a minder to make sure they don't get into any sticky situations.,Fear
But the Tigersharks are wide awake and raring to go.,Anticipation
"Just another wench, he told himself angrily, but deep down he knew different.",Sadness
"He will thrash in the bed, like a fish out of water, not censoring the words and pictures in his head.",Anger
How about that for a Freudian slip?,Surprise
I don't usually go to pieces like this.,Sadness
"The following day, however, Mrs Thatcher had a change of heart, and asked him to flesh out his figures.",Anticipation
"In effect, the message being sent to John and the other hostages was that they had to keep a stiff upper lip and hope that, one day, the kidnappers might let them go.",Fear
"Most people in Three Oaks Bay were awaiting Dizzy Liston's return with mixed feelings; mainly apprehension, mixed with trepidation.",Anticipation
And of course we're pleased as Punch to put him in print again.,Joy
Their very names speak volumes for the unity which the Spirit creates.,Joy
"It's just that he wants to let off steam, and you're the only person he can lose his temper with.",Anger
"These were wise words from a wise old bird, but Matilda was too steamed up to see it that way.",Joy
"Drama Zoff detailed the drama behind the scenes as Gazza was kept on tenterhooks for the past four days, wondering whether he would make his Italian debut.",Anticipation
"Yo dudes, it's time to chill out with DJ Phil Disco King.",Joy
"The equivalent, I suppose, of someone who loves chocolate falling into a big vat of the stuff and unhurriedly eating their way out. I was in my element, immersing myself in all the terms falconers use and studying Brian's vast collection of equipment, some of it quite old and valuable, but in immaculate condition, like his birds.",Joy
"The morning session at the law courts was in full swing, and the halls and corridors were crowded.",Anticipation
She was having a very enjoyable time and was clearly the life and soul of the party.,Joy
'I was only pulling your leg' his face collapsed with relief.,Surprise
"In 1987, when I was chosen to fight my first election at Birmingham's Perry Barr, I was on cloud nine, even though it was a safe Labour seat.",Joy
"At first, we thought everyone else was booming while we were down in the dumps, but from talking to other businessmen you realise that everyone is suffering the same.",Sadness
Suddenly Lisa was grinning from ear to ear.,Joy
"' Smile,' he said, his voice indicating that he was certainly grinning like a Cheshire cat.",Joy
"What she wanted was to slap Nicolo Sabatini's face, to stalk out of the Sala dell'Arte and never look back.",Anger
The sight of a twig she had picked bursting into bud in a vase was enough to send her in raptures.,Joy
Birthday boy Fred Proctor was in seventh heaven after notching up yet another election success.,Joy
"People have been diagnosed with cancer etcetera, erm, in fact at the convention yesterday, they had some clients on the stage, one lady had been diagnosed with breast cancer, she got a pay-out from living assurance, five years later she's been cleared, and, and she's thrilled to bits about it.",Joy
It was a wonderful feeling as if I was walking on air.,Joy
We would soon be in input overload and go nuts.,Anticipation
"If you overstep the mark, you may find yourself involved in a costly legal fight.",Fear
"General de Rivieres, the creator of Verdun fortress had warned that its Achilles Heel lay on the Left Bank.",Fear
There were alarm bells ringing in Edward's skull.,Fear
Asking for trouble to put steps like that where there are old people.,Sadness
Every time it goes on the blink I wonder who'll win.,Anticipation
"We were caught, high and dry.",Surprise
"But scratch the surface, and an astonishing mystery is revealed.",Anticipation
Let's just say I got in a tight spot.,Fear
This is the tip of the iceberg.,Anticipation
I hope all your plans go forward without a hitch.,Anticipation
"Al Jourgensen is running around backstage, shouting out such helpful commands through his megaphone as' Batten down the hatches', and' Splice the mainsail'; stopping every minute or two to proudly show off his new tattoo.",Anticipation
"But even if they are carried, the second shot becomes fraught with danger.",Fear
"Muriel, probably because of her years and the fact they were looking for a more mature person, was by a hair 's breadth the front-runner, ahead of two younger girls both with experience of the insurance business.",Anticipation
In order to survive the jungle and live to tell the tale it is important not only to have good companions.,Fear
I believed he was in safe hands.,Trust
The audience had been told to disperse to their cars to take cover.,Fear
"Anyway, you'd better watch your step.",Anticipation
"She was too tall and untidy, but her quality shone out like a light as she passed into the crowd, and the noise and the tension that are part of even the smallest race meeting.",Surprise
"With so much within easy reach, we were clearly spoilt for choice and decided to sleep on it.",Anticipation
"Both projects, and more besides, aim to make Microsoft an also-ran in tomorrow's markets.",Anticipation
So I'm back to square one.,Sadness
No you've got them in the bag.,Surprise
Over eight hundred people turned out in Oxford to see the blockbuster everyone's talking about.,Anticipation
"Alistar Campbell roared past 500 runs on Saturday and put himself firmly on course for the magical 1,000 mark.",Anticipation
"The casualty was lying beam-on to the swell, and dead in the water with no engine power, so the helicopter's attempt to lift them.",Fear
"After all, England have another chance to fall from grace when they meet Germany on Saturday.",Anticipation
"Before the setbacks, the new Lancias had passed their tests with flying colours.",Joy
"Finally, under the obscurity of dust and smoke the Germans managed to get a foothold on the summit",Joy
Members might like to note that Crich is a front runner for next summer's trip.,Fear
"If you're camping in the wilderness on your own, don't let imagination get the better of you.",Fear
For months the polls have been predicting an unprecedented landslide victory for the Right in next month's general election.,Anticipation
"Twelve months ago we came on leaps and bounds, and surprised even ourselves by winning the All Ireland.",Surprise
"A 68 put Ballesteros safely through to the last two days but a distressed Olazabal, despite a 69, faced an anxious wait to see if he would make the cut.",Anticipation
It was absolutely make or break.,Anticipation
And so the moment of truth.,Surprise
"He likes to be one step ahead of the pack, getting there before others do.",Anticipation
If he played golf as badly as that he'd pack it in.,Surprise
It may prove to be a Pyrrhic victory.,Anticipation
"When he motioned for her to take the wooden spoon from him she did so, avoiding touching him at all costs.",Disgust
Then out of the blue he got a phone call asking if he was still interested in the car as it had to be sold to make space for the family.,Surprise
Lisa's jaw dropped open.,Surprise
"And lo and behold, no sooner had British Bakeries written to say' the problem should now be eliminated' than a loaf arrived at home with at least five slices suffering from holes bigger than those in the Darlington defence.",Anger
"Then she stopped dead in her tracks, the blood seeping from her veins, leaving her stiff and white with shock.",Fear
How do you know that you haven't landed yourself with someone who'll be struck dumb with nerves?,Fear
Words fail me in praise of your company and its workforce.,Joy
It's a sad and unusual case for all concerned but the mother is determined to fight tooth and nail.,Sadness
"While perhaps reasonable for a very small group, it could soon become a free for all in a larger organisation.",Anticipation
This amounts to a quest for possible ways in which Tit for Tat individuals might happen to cluster together in sufficient numbers that they can all benefit at the banker's expense.,Surprise
"I wouldn't ask your father, but your mother would, I'm sure, be up in arms.",Anger
She returned with a bravado somewhat at odds with the way she was feeling.,Surprise
"And major sponsors of the Renault-Williams team, caught in the crossfire of the bitter battle between the world champion and his team boss Frank Williams, are in a panic.",Fear
Why were the prophets so dead set against mediumship?,Surprise
"But before you know it, you're right in there hammer and tongs, defending yourself against an onslaught of outrage and invective.",Anger
"Journalists woke him up in his bed with the news and, as I suspected, all hell broke loose.",Anger
"In the battle of wills, as well as the battle of resources, the Soviet Union has cards to play.",Joy
"After all, football left leather behind long ago, but I expect cricketers will be up in arms about this suggestion",Anger
Now will you please get off my back.,Anger
However I did get a bit cheesed off with the movie's rather plodding pace.,Anger
"Wake up, Cati, for crying out loud.",Anger
"Yeah, yeah, don't get your knickers in a twist, it's in one piece.",Anger
The share price should go through the roof.,Anticipation
The reviewer is likely to get hot under the collar if a personal favourite has been left out and can easily end up merely drawing up a rival selection.,Fear
Black outlook is making us see red.,Anger
Mark said that when the Raja saw the damage he was wearing glasses which steamed up a bit.,Disgust
"The small independent bakers, already affected by the supermarket bakeries, see this as the last straw.",Anger
"My head roared with neon pins and needles, at once visual and sensual.",Surprise
"Louis was reconstituting the royal family, keeping his adult sons on tenterhooks.",Anticipation
"McAllister turned off the gas ring, blew out the match, and walked to the front door, grumbling to herself, hold your horses, I'm coming, I'm coming, when another urgent series of knocks sounded.",Anticipation
I've kept myself fit and I was raring to go.,Anticipation
"It was depressing to think of Sien and the children he had left to fend for themselves, depressing too to remember that Theo was having to bear the brunt of his trouble as always.",Sadness
"The thing with Minneapolis was that everyone was bored to tears, so we just made a scene.",Sadness
Pleased as Punch she is.,Joy
"I'm sorry,' I said, wondering how I could save face.",Sadness
The only thing that gets me steamed up is when they have a go at you.,Disgust
In a stew over OXO tower.,Anger
He was still on tenterhooks waiting for his directors' decision about the manager's job.,Anticipation
"Perfect for the postparty come-down spliff up, chill out and get One Dove on them gramophones.",Joy
I said I was only pulling your leg.,Joy
"This brought forth the usual gales of laughter and requests to pull the other one, stop having them on, etc.",Joy
You'll have to take it easy when you do come out.,Trust
They just want to stay on cloud nine.,Joy
"A few months ago Hardyman was down in the dumps Sunderland had shelled out 350,000 for another left back, Anton Rogan, and his days at Roker looked numbered.",Sadness
He was grinning from ear to ear and the first stabs of doubt needled at Ruth's heart.,Joy
The hunched figure is such a picture of hopelessness that the heart sinks.,Sadness
They are both over the moon.,Joy
Gould was in seventh heaven.,Joy
"Oh, yes, absolutely, thrilled to bits.",Joy
"If attending a wedding or party of close friends, you should have the time of your life",Anticipation
Britain was on top of the world.,Sadness
Everything becomes so much easier and some people have an experience akin to walking on air or walking on the moon.,Joy
"Victor will go bananas, and Rachel will think I got laid.",Anger
"It could take some trial and error to discover the correct interval, and you may need to chart the person's pattern.",Joy
You mean it's all right to sleep with you under your own roof with your mother there although it's not quite the done thing here.,Surprise
Trying to interrogate officers of the Grand Army would have been asking for trouble.,Fear
Again there is nothing catch 22 about this.,Trust
The walls seem to meet overhead to block out the sky and a chill wind blows as we approach the impasse at the head of the gully.,Anticipation
All those vital issues are to be rigidly centralised and that is the crux of the matter.,Anticipation
It was a couple of weeks before and I was left high and dry without a partner.,Sadness
As a last resort you can call out the total number of those present.,Anticipation
"Isn't it easier to pass the buck to your boss, some staff person or a committee?",Anticipation
"In spite of recent emotional dramas or conflicts, you must put on a brave face and allow others to share your load.",Surprise
Defence cuts could also be a stumbling block.,Anticipation
You come out of a tight spot smelling of roses.,Surprise
"For Africa, meanwhile, the 1980s have been an almost unmitigated disaster.",Sadness
We ran towards our target -- King Kong's massive back -- without a hitch and I reached it just ahead of my friend.,Joy
"A natural tendency in times of recession is to batten down the hatches and look after our own needs, but as we sold raffle tickets in aid of our livestock projects in Uganda, people at the Royal certainly supported our scheme with cheerful generosity.",Joy
"Phew, that was a close shave.",Surprise
"Seated where he is, Rhys Williams knows one false move could mean the might of God descending on him at any moment.",Fear
Look before you leap.,Anticipation
But it's very reassuring to know I am in safe hands here.,Trust
"I'd best take a look, just to be on the safe side.",Anticipation
"The massacre of the horses, unable to take cover upon the warning whistle of a shell, had become prohibitive.",Sadness
An RAF man told a court yesterday how he had fallen asleep at the wheel of a Land-Rover before his friend died in a head-on crash with a lorry on the A1.,Disgust
"It is clearly impossible to anticipate every eventuality, but the guiding principle must be that if the source of difficulty does not lie in the implementation of a selected strategy and is not being assessed during the conduct of the investigation, then assistance can be given.",Anticipation
We have to make sure we don't fall flat on our faces after a great win at West Brom.,Anticipation
Perhaps the most dramatic fall from grace was the case of Hu Yaobang.,Surprise
She is no short term flash in the pan.,Fear
"His parting advice to those interested in taking the challenge was keep an ear to the ground, your back to the wheel and get your foot in the door.",Anticipation
Drug baron's limousines go up in smoke,Sadness
I've become skint while Woking have gone on in leaps and bounds.,Sadness
The fortunes of wartime Britain were at a low ebb in July 1941.,Sadness
I think they'll make a go of it.,Disgust
I've been out of the picture so long that I just want people to know what I'm about.,Anticipation
"If rags to riches is still the American dream, William Casey lived his own version of it.",Joy
"Getting out her suitcase, and with her fury riding high, she began throwing her belongings into it.",Anger
The Ohio bank does not leave its newcomers to sink or swim by themselves.,Trust
"In this context the financial muscle associated with a more diversified grouping, where risks are spread more evenly, can serve to help weather the storm.",Fear
He sipped some from a wooden spoon and stained part of his wispy beard a bright orange.,Joy
Why should he suddenly have materialized out of the blue?,Surprise
"Theda's jaw dropped perceptibly, and she was conscious of a sliver of tender warmth slipping into her heart.",Surprise
"So startled was he by this sudden onslaught, Ryker momentarily froze, rooted to the spot",Surprise
Mr Proctor said last night that it was all water under the bridge.,Trust
Why couldn't God let bygones be bygones?,Anger
IBM and Hitachi are still at loggerheads.,Anger
A sparrow hawk appeared and all hell broke loose.,Anger
Maybe he was cheesed off meeting people so far along the ridge without explanation as to their start point.,Anger
"The other customers were almost as hot under the collar as Phyllis, but for very different reasons.",Anger
"I hate it, I rant and rave, I never like things I've done.",Anger
Don't miss these two chances to see red deer and roe deer as they leave the cover of their reed beds in the Leighton Moss Nature Reserve.,Anticipation
"That Wright is ultimately responsible for handling his short fuse and, to help him do that, think back to the hundreds of games he's played when there has been no trouble.",Fear
"Boxing and Las Vegas, joined in very unholy matrimony, are waiting with bated breath and heavily baited betting slips for the outcome of a fight that can be almost relied upon to restore some credibility to the heavyweight division.",Anticipation
"The patient with back pain will say, I'm scared stiff.",Fear
"It is this mixture of natural and mechanical sound that makes' Ecim' so absorbing, where the feeling that one half will overcome the other keeps the excitement captured here at a fever pitch.",Anticipation
We're bored to tears down here.,Disgust
You can't go to pieces.,Fear
Power is prepared to run through a wall; Willie O'Connor is as hard as nails and Liam Simpson takes no prisoners.,Surprise
He sounded pleased as punch for me.,Joy
"In a US property, a guest let off steam to the bartender because his room was not ready and it was already late.",Anger
The bed was comfortable and so large you had to shout sweet nothings.,Joy
I'm really on tenterhooks about the twins.,Anticipation
"And what is even more wonderful, they all think the world of each other.",Joy
"On location in Australia, he was nothing if not the life and soul of the party.",Joy
"It's all right, Robbie, I was pulling your leg.",Joy
"At that moment, and perhaps for an hour afterwards, I was on Cloud Nine.",Joy
"I wished I could help him then, he looked so down in the mouth hunched up by the stove.",Sadness
"He gets up, opens the door, and his heart sinks, seeing Tommy standing there with Iain.",Sadness
I was over the moon.,Joy
The ciderheads were in seventh heaven.,Joy
She was thrilled to bits.,Joy
Coming on top of the World Cup cricket fiasco.,Sadness
"That's how one Irish farm leader sums up commissioner Ray MacSharry, the former minister for agriculture, whose radical reform plan for the CAP has set alarm bells ringing in his native country.",Fear
I should keep your back to the wall.,Fear
"The great all seem to have had this cross to bear, and that is no comfort.",Sadness
"The crux of the matter is, how do we prevent a 1947 or 1990 flood occurring again?",Fear
"You're going to be left in the lurch, Giles.",Fear
"For many, paying taxes is at best a necessary evil, at worst a legal way for the Government to steal your money.",Anger
Leaving the court the families all tried to put on a brave face.,Sadness
"Once the firms' merger was in place, Mr Morrison took up the thorny issue of rationalising the accountancy profession.",Anticipation
I feared that without him I would batten down the hatches of the physical part of me and crawl back inside the shell which I had built around myself in the three years before he blew through my life.,Fear
And so we all had a close shave once a term.,Joy
"Apologise for the intrusion, to be on the safe side.",Anticipation
"Again, safety in numbers saves the day for the prey species.",Joy
"Holliman decided that they had to take cover, so they scuttled into a patch of scrub and camouflaged themselves with nets.",Fear
"Something hit me on the back of the head, here, and I went out like a light.",Surprise
He said the Government was on course for elections to the new councils in 1995.,Anticipation
But it's all downhill from here.,Sadness
"This causes onlookers to despair, and TV schedules to go up in smoke, which can't please Philip Morris, the sponsor.",Joy
Is Iran about to make a comeback?,Anticipation
She would like to make a go of it but there is nothing there it is so sad.,Sadness
"On the one hand, the England game could be make or break.",Anticipation
They felt sure that at the moment of truth in the polling booth most voters will consider their wallets.,Anticipation
Danaher's is a rags to riches story.,Joy
The Highways Department will sink or swim on the basis of everyone pulling together.,Anticipation
We had arrived from Harehills on the up and up with the booming coal industry.,Joy
"The way he gained the word that sustains the weary was not like a bolt from the blue, but through patiently listening to God morning by morning.",Trust
"How would you like to be an innocent old woman quietly doing your knitting, and then get a letter like that out of the blue?",Surprise
Sybil's jaw dropped.,Surprise
"Lo and behold, the thief was caught red-handed.",Joy
Obviously Kaplan's recording will raise eyebrows.,Surprise
"By morning, if anyone troubled to come looking for her, they would probably find her poor, frozen body rooted to the spot by a cage of spindly icicles.",Anger
Baby kidnapper Caren McSweeney is so stunned by what she did that she has been struck dumb.,Surprise
"Team spirit reached an all time low on this one, but at least we didn't come to blows.",Sadness
"But if a case proves fatal, the result will not be a free for all but an even tougher enforcement mechanism to replace it accounting solutions.",Sadness
Single travellers would be justified in being up in arms over InterCity Sleeper's latest ad suggesting that you to save money.,Anger
But there was no love lost between the stars.,Surprise
By this point some of my readers will be up in arms.,Anger
"The poor woman had given way to a black mood and been swamped by her ugly past, he explained.",Anger
"Forget it, Rory, for crying out loud forget it.",Anger
Many of us become hot under the collar over local issues.,Anger
"You can go down to the council and rant and rave, you still wont get anything.",Anger
You're in danger of going too far this week.,Fear
That was the last straw as far as I was concerned.,Disgust
"If you go fertilizing with unsterilized bonemeal, for instance, hold your breath; the stuff can be crawling with anthrax germs.",Disgust
On the Saturday I got the pins and needles back and was rushed to casualty.,Fear
The young lady behind the bar was scared stiff by our presence.,Fear
"Everyone had been waiting on tenterhooks on the platform, as they had been technically ready for more than a day.",Sadness
I'm sensing warp portals opening deep down in our city.,Anticipation
"Ultimately, the return of Madness is hardly something to get worked up about.",Anger
"I also establish safety by showing I'm able to take a hell of a lot of flack and stress and if they go to pieces, I'll be there",Trust
"As we fail to remember our previous situation, a slow and subtle change of heart takes place.",Anticipation
It was appreciated by fans who sang 'Always Look On The Bright Side Of Life.',Joy
"Australian charged with spreading the rugby league gospel in the capital, was pleased as punch.",Joy
"He really gets steamed up if they're left open,",Anger
"Louis was reconstituting the royal family, keeping his adult sons on tenterhooks.",Anticipation
Living on cloud nine is intoxicating and precarious.,Joy
"Some were very angry, they thought it would last for ever, yes a bit down in the dumps, especially the younger people, some old people looked forward to it.",Anger
"The National Display Team came for the afternoon to show their special item , we were all over the moon.",Joy
"He was in seventh heaven, so excited.",Joy
"Looks thrilled to bits, doesn't he?",Joy
