sentence,emotion
"Apologise for the intrusion, to be on the safe side.",Anticipation
"Again, safety in numbers saves the day for the prey species.",Joy
"Something hit me on the back of the head, here, and I went out like a light.",Surprise
He said the Government was on course for elections to the new councils in 1995.,Anticipation
"This causes onlookers to despair, and TV schedules to go up in smoke, which can't please Philip Morris, the sponsor.",Joy
Is Iran about to make a comeback?,Anticipation
"On the one hand, the England game could be make or break.",Anticipation
They felt sure that at the moment of truth in the polling booth most voters will consider their wallets.,Anticipation
Danaher's is a rags to riches story.,Joy
The Highways Department will sink or swim on the basis of everyone pulling together.,Anticipation
We had arrived from Harehills on the up and up with the booming coal industry.,Joy
"The way he gained the word that sustains the weary was not like a bolt from the blue, but through patiently listening to God morning by morning.",Trust
"How would you like to be an innocent old woman quietly doing your knitting, and then get a letter like that out of the blue?",Surprise
Sybil's jaw dropped.,Surprise
"Lo and behold, the thief was caught red-handed.",Joy
Obviously Kaplan's recording will raise eyebrows.,Surprise
Baby kidnapper Caren McSweeney is so stunned by what she did that she has been struck dumb.,Surprise
But there was no love lost between the stars.,Surprise
I'm sensing warp portals opening deep down in our city.,Anticipation
"I also establish safety by showing I'm able to take a hell of a lot of flack and stress and if they go to pieces, I'll be there",Trust
"As we fail to remember our previous situation, a slow and subtle change of heart takes place.",Anticipation
It was appreciated by fans who sang 'Always Look On The Bright Side Of Life.',Joy
"Australian charged with spreading the rugby league gospel in the capital, was pleased as punch.",Joy
"Louis was reconstituting the royal family, keeping his adult sons on tenterhooks.",Anticipation
Living on cloud nine is intoxicating and precarious.,Joy
"The National Display Team came for the afternoon to show their special item , we were all over the moon.",Joy
"He was in seventh heaven, so excited.",Joy
"Looks thrilled to bits, doesn't he?",Joy
"Mountain biking is wonderful, you're on top of the world while you're pedalling and even higher when you've finished.",Joy
"There is a curious feeling of walking on air, which I have never thought as agreeable a sensation as people try to make out.",Joy
"In short, for many employees constructive dismissal claims give rise to a Catch 22.",Surprise
Or a mite more forgiving in a tight spot?,Surprise
"The performance went off without a hitch and the Vancouver Symphony Orchestra, with Dr Otto Klemperer conducting, played brilliantly.",Joy
He left them in safe hands.,Trust
There is safety in numbers folks.,Joy
"The sign outside may say Cad Mle Fate, but inside you watch your step.",Anticipation
"First, we want promotion this season and we're on course for that.",Joy
Mr Crowe emphasised the achievement was no flash in the pan but the result of continuous improvement over several years.,Joy
I am delighted that they all passed with flying colours.,Joy
This is the moment of truth for the Lions the six build-up provincial games can be forgotten.,Anticipation
"But if Mr Kohl is now riding high, East German expectations are riding higher.",Anticipation
"The last two competitors may be called upon to save the day, so always ensure that you keep at least one good finisher.",Anticipation
Not since the surprise smash hit of the year cast a rosy glow over Shore's vehicle.,Anticipation
Signor Candiano's letter had come out of the blue.,Surprise
We were all struck dumb for the moment.,Joy
Alexander found himself at odds with these famous words of Shakespeare.,Joy
"Well, you'll have all the time you need to be beautiful this summer and that's what summer is about, for crying out loud.",Anticipation
"Because it's a beta version, I don't propose to harp on about any niggles.",Trust
"I pretended not to notice it, and, as the students listened with bated breath, instructed them to turn to page thirty in Jespersen.",Anticipation
"But, deep down, every Russian knows that our strength is in our unity.",Trust
They fell head over heels in love and my real Mother returned.,Joy
"He was a strong, healthy lad and as pleased as punch to be working with Dad.",Joy
Eva was over the moon.,Joy
My good friends of masher persuasion are in seventh heaven when they have the opportunity of admiring eight pretty faces.,Joy
"Going Live host Phillip, 30, popped the question yesterday and was' thrilled to bits' when 28-year-old Stephanie said yes.",Joy
Of course that's not all there is to this beautiful island.,Joy
"We were trying to diverse the music with the mixture of soul and reggae, though it wasn't really the done thing at that point.",Anticipation
Kenny Schaefer aims to gatecrash the world's top ten by beating York's Commonwealth supermiddleweight champion Henry Wharton on Thursday.,Anticipation
"It means that when pesticides are used, and it is only as a last resort, then the most environmentally friendly are chosen.",Anticipation
"When the future seems to be filled with storm clouds, it may appear that the Church has no other recourse but to batten down the hatches and attempt to ride the storm.",Anticipation
I was determined to take a calculated risk.,Anticipation
"This is another high scoring technique, though its use is fraught with danger.",Anticipation
"Take cover, here comes Attila.",Anticipation
"Now watch your step, the path gets a bit steep further down.",Anticipation
England swept aside defending champions Ireland at Hoylake yesterday to stay on course for their first men's amateur Home International title for four years.,Joy
I had a trial pouring and the teapot passed with flying colours.,Joy
"If he can't make a go of them, nobody can.",Trust
Australia made inroads into our batting and the moment of truth arrived when Fletch had to go out and bat.,Anticipation
"What God has done fades slowly out of the picture, and we focus increasingly on what we ourselves seem well able to do.",Anticipation
Central bankers are riding high.,Joy
It may not be the London Palladium but it is a smash hit.,Joy
A bolt from the blue is how Dounreay described hearing of her thrilling news that she had been awarded the MBE in The Queen's birthday honours.,Surprise
"Then out of the blue, the radio station sacked them.",Surprise
Virginia's jaw dropped open in surprise.,Surprise
"Fabia was staring at him, struck dumb, when suddenly he let go one of her arms and placed an arm about her shoulders.",Surprise
Rumours about a split in the Smiths camp again reached fever pitch.,Anticipation
"I was taken aback, but deep down I wasn't totally surprised.",Surprise
It's a challenge all the more remarkable for the fact that not so long ago jetting off on holiday made her weak at the knees.,Surprise
She was over the moon with it.,Joy
Vicky is thrilled to bits that the dog has been found.,Joy
I was on top of the world.,Joy
Many centuries of trial and error would elapse before Ireland's dark secret would be revealed.,Surprise
It was a close shave.,Surprise
"Apart from the administrative and cost difficulties, linking nurses pay to performance is fraught with danger, says Mr Thompson.",Anticipation
Millie the cat is back in safe hands.,Joy
April 1992 saw the car completed and it passed its MOT with flying colours.,Joy
By this stage Labour should have been riding high.,Anticipation
"Well, there was a time when it was a bolt from the blue, I mean I've known for a week or two, but we were delighted to receive it.",Joy
"But before I had finished this wearisome task, the cheque arrived out of the blue.",Surprise
"An American is standing in an Oxford quadrangle, jaw dropped.",Surprise
"Suddenly, lo and behold, what should they see but the tiger and the jackal coming toward them with their tails tied together.",Surprise
But in the next move tit for tat retaliates.,Anticipation
"In 1987, when I was chosen to fight my first election at Birmingham's Perry Barr, I was on cloud nine, even though it was a safe Labour seat.",Joy
